time	price	quantity	board	source	buyer	seller	initiator
20141013T153541	452.23	100		Auto trade			
20141013T153541	452.	100		Auto trade			
20141013T153541	452.28	100		Auto trade			
20141013T153542	451.98	100		Auto trade			
20141013T153542	451.99	100		Auto trade			
20141013T153542	451.67	200		Auto trade			
20141013T153545	452.065	100		Auto trade			
20141013T153549	452.07	100		Auto trade			
20141013T153549	452.27	100		Auto trade			
20141013T153550	452.07	100		Auto trade			
20141013T153551	451.86	100		Auto trade			
20141013T153551	451.78	100		Auto trade			
20141013T153552	451.69	100		Auto trade			
20141013T153552	451.66	100		Auto trade			
20141013T153552	451.65	800		Auto trade			
20141013T153552	451.69	100		Auto trade			
20141013T153552	451.6	240		Auto trade			
20141013T153552	451.61	100		Auto trade			
20141013T153552	451.6	100		Auto trade			
20141013T153552	451.59	100		Auto trade			
20141013T153552	451.56	100		Auto trade			
20141013T153552	451.6	200		Auto trade			
20141013T153552	451.55	100		Auto trade			
20141013T153552	451.51	100		Auto trade			
20141013T153552	451.5	250		Auto trade			
20141013T153552	451.65	400		Auto trade			
20141013T153555	451.342	1000		Auto trade			
20141013T153555	451.21	100		Auto trade			
20141013T153600	451.56	100		Auto trade			
20141013T153606	451.05	100		Auto trade			
20141013T153607	451.05	100		Auto trade			
20141013T153608	451.05	500		Auto trade			
20141013T153608	450.99	200		Auto trade			
20141013T153608	451.	100		Auto trade			
20141013T153609	450.99	100		Auto trade			
20141013T153609	451.	200		Auto trade			
20141013T153610	450.78	100		Auto trade			
20141013T153610	450.77	100		Auto trade			
20141013T153610	450.76	100		Auto trade			
20141013T153611	450.76	100		Auto trade			
20141013T153611	450.72	100		Auto trade			
20141013T153611	450.75	100		Auto trade			
20141013T153611	450.63	100		Auto trade			
20141013T153611	450.51	100		Auto trade			
20141013T153616	450.53	100		Auto trade			
20141013T153616	450.52	100		Auto trade			
20141013T153616	450.72	100		Auto trade			
20141013T153616	450.74	100		Auto trade			
20141013T153616	450.71	100		Auto trade			
20141013T153617	450.64	100		Auto trade			
20141013T153618	450.33	100		Auto trade			
20141013T153618	450.31	100		Auto trade			
20141013T153618	450.3	100		Auto trade			
20141013T153619	450.3	488		Auto trade			
20141013T153623	450.15	100		Auto trade			
20141013T153623	450.151	100		Auto trade			
20141013T153623	450.152	106		Auto trade			
20141013T153625	450.18	100		Auto trade			
20141013T153629	450.15	100		Auto trade			
20141013T153629	450.52	100		Auto trade			
20141013T153629	450.75	100		Auto trade			
20141013T153629	450.74	100		Auto trade			
20141013T153629	450.75	100		Auto trade			
20141013T153629	450.74	100		Auto trade			
20141013T153629	450.75	700		Auto trade			
20141013T153629	450.97	168		Auto trade			
20141013T153629	451.05	100		Auto trade			
20141013T153629	450.96	100		Auto trade			
20141013T153629	451.2	100		Auto trade			
20141013T153629	450.15	200		Auto trade			
20141013T153635	450.45	100		Auto trade			
20141013T153635	450.4279	100		Auto trade			
20141013T153638	451.21	100		Auto trade			
20141013T153646	451.26	146		Auto trade			
20141013T153646	451.47	100		Auto trade			
20141013T153646	451.56	100		Auto trade			
20141013T153647	451.36	100		Auto trade			
20141013T153647	451.18	100		Auto trade			
20141013T153647	451.04	100		Auto trade			
20141013T153647	451.02	100		Auto trade			
20141013T153647	450.92	100		Auto trade			
20141013T153703	451.1	100		Auto trade			
20141013T153704	450.841	315		Auto trade			
20141013T153706	451.1592	100		Auto trade			
20141013T153708	450.78	100		Auto trade			
20141013T153708	450.76	100		Auto trade			
20141013T153708	450.7	100		Auto trade			
20141013T153708	450.78	100		Auto trade			
20141013T153708	450.65	100		Auto trade			
20141013T153708	450.42	200		Auto trade			
20141013T153708	450.41	100		Auto trade			
20141013T153708	450.65	100		Auto trade			
20141013T153708	450.41	100		Auto trade			
20141013T153708	450.42	100		Auto trade			
20141013T153709	450.42	700		Auto trade			
20141013T153709	450.41	100		Auto trade			
20141013T153709	450.42	100		Auto trade			
20141013T153709	450.2	100		Auto trade			
20141013T153709	450.19	100		Auto trade			
20141013T153710	450.4199	100		Auto trade			
20141013T153710	450.42	200		Auto trade			
20141013T153711	450.41	100		Auto trade			
20141013T153713	450.18	100		Auto trade			
20141013T153716	450.025	100		Auto trade			
20141013T153716	450.	100		Auto trade			
20141013T153716	449.91	100		Auto trade			
20141013T153716	450.	200		Auto trade			
20141013T153716	449.8	100		Auto trade			
20141013T153716	449.75	100		Auto trade			
20141013T153716	449.63	164		Auto trade			
20141013T153716	449.61	100		Auto trade			
20141013T153716	450.01	100		Auto trade			
20141013T153716	449.57	140		Auto trade			
20141013T153716	449.72	100		Auto trade			
20141013T153720	449.56	100		Auto trade			
20141013T153720	449.58	200		Auto trade			
20141013T153721	449.56	100		Auto trade			
20141013T153724	449.97	100		Auto trade			
20141013T153724	449.99	100		Auto trade			
20141013T153724	449.98	100		Auto trade			
20141013T153724	449.97	100		Auto trade			
20141013T153724	449.98	100		Auto trade			
20141013T153725	449.78	100		Auto trade			
20141013T153726	449.99	100		Auto trade			
20141013T153726	450.	100		Auto trade			
20141013T153726	449.99	100		Auto trade			
20141013T153726	450.	100		Auto trade			
20141013T153727	450.42	350		Auto trade			
20141013T153728	450.42	3650		Auto trade			
20141013T153731	450.16	100		Auto trade			
20141013T153736	450.0207	400		Auto trade			
20141013T153737	450.175	200		Auto trade			
20141013T153737	450.4199	200		Auto trade			
20141013T153737	450.406	200		Auto trade			
20141013T153742	450.2	100		Auto trade			
20141013T153744	450.185	200		Auto trade			
20141013T153749	450.06	100		Auto trade			
20141013T153749	450.1064	100		Auto trade			
20141013T153758	450.23	176		Auto trade			
20141013T153758	450.235	200		Auto trade			
20141013T153801	450.265	100		Auto trade			
20141013T153801	450.26	200		Auto trade			
20141013T153801	450.265	100		Auto trade			
20141013T153804	450.265	200		Auto trade			
20141013T153805	450.265	100		Auto trade			
20141013T153805	450.41	200		Auto trade			
20141013T153805	450.265	200		Auto trade			
20141013T153806	450.265	700		Auto trade			
20141013T153815	450.12	100		Auto trade			
20141013T153815	450.07	100		Auto trade			
20141013T153815	450.06	100		Auto trade			
20141013T153815	450.12	100		Auto trade			
20141013T153815	450.02	100		Auto trade			
20141013T153815	450.07	100		Auto trade			
20141013T153815	450.02	100		Auto trade			
20141013T153815	450.15	100		Auto trade			
20141013T153815	450.12	100		Auto trade			
20141013T153815	450.1025	100		Auto trade			
20141013T153815	450.04	100		Auto trade			
20141013T153815	449.77	100		Auto trade			
20141013T153815	449.72	100		Auto trade			
20141013T153815	449.63	100		Auto trade			
20141013T153815	449.96	100		Auto trade			
20141013T153815	450.12	100		Auto trade			
20141013T153816	449.6	100		Auto trade			
20141013T153819	449.885	100		Auto trade			
20141013T153820	449.89	100		Auto trade			
20141013T153820	449.895	100		Auto trade			
20141013T153820	450.	201		Auto trade			
20141013T153820	449.895	200		Auto trade			
20141013T153820	449.8975	100		Auto trade			
20141013T153820	449.895	100		Auto trade			
20141013T153820	449.9	100		Auto trade			
20141013T153821	449.895	200		Auto trade			
20141013T153823	449.8	100		Auto trade			
20141013T153824	449.895	300		Auto trade			
20141013T153824	449.98	100		Auto trade			
20141013T153824	450.	200		Auto trade			
20141013T153824	449.895	100		Auto trade			
20141013T153824	450.	300		Auto trade			
20141013T153824	449.98	100		Auto trade			
20141013T153824	449.895	200		Auto trade			
20141013T153824	449.99	100		Auto trade			
20141013T153824	450.	200		Auto trade			
20141013T153824	449.98	100		Auto trade			
20141013T153824	450.	200		Auto trade			
20141013T153824	449.895	100		Auto trade			
20141013T153824	450.	100		Auto trade			
20141013T153824	449.895	100		Auto trade			
20141013T153824	450.	100		Auto trade			
20141013T153824	449.98	100		Auto trade			
20141013T153824	450.	100		Auto trade			
20141013T153824	449.9	100		Auto trade			
20141013T153824	449.995	100		Auto trade			
20141013T153827	449.91	100		Auto trade			
20141013T153827	449.79	200		Auto trade			
20141013T153827	449.82	100		Auto trade			
20141013T153827	449.79	100		Auto trade			
20141013T153827	449.82	100		Auto trade			
20141013T153827	449.79	100		Auto trade			
20141013T153837	449.925	200		Auto trade			
20141013T153837	450.	100		Auto trade			
20141013T153837	449.925	100		Auto trade			
20141013T153837	450.	132		Auto trade			
20141013T153837	450.05	300		Auto trade			
20141013T153837	449.925	100		Auto trade			
20141013T153837	449.95	100		Auto trade			
20141013T153837	450.	100		Auto trade			
20141013T153837	449.925	100		Auto trade			
20141013T153837	450.	100		Auto trade			
20141013T153837	449.925	200		Auto trade			
20141013T153837	450.03	100		Auto trade			
20141013T153837	449.925	100		Auto trade			
20141013T153837	450.	100		Auto trade			
20141013T153837	449.925	100		Auto trade			
20141013T153839	449.925	100		Auto trade			
20141013T153839	449.93	100		Auto trade			
20141013T153839	449.99	100		Auto trade			
20141013T153839	449.93	100		Auto trade			
20141013T153840	449.925	100		Auto trade			
20141013T153843	449.93	100		Auto trade			
20141013T153843	449.95	100		Auto trade			
20141013T153844	449.89	100		Auto trade			
20141013T153844	449.9	100		Auto trade			
20141013T153844	449.935	100		Auto trade			
20141013T153844	450.	200		Auto trade			
20141013T153845	450.	100		Auto trade			
20141013T153846	449.87	900		Auto trade			
20141013T153846	449.81	100		Auto trade			
20141013T153846	449.87	100		Auto trade			
20141013T153846	449.76	100		Auto trade			
20141013T153846	449.86	100		Auto trade			
20141013T153846	449.883	900		Auto trade			
20141013T153846	449.87	100		Auto trade			
20141013T153848	449.87	100		Auto trade			
20141013T153848	449.88	100		Auto trade			
20141013T153848	449.8	100		Auto trade			
20141013T153848	449.93	100		Auto trade			
20141013T153848	449.99	100		Auto trade			
20141013T153849	449.99	100		Auto trade			
20141013T153849	449.74	100		Auto trade			
20141013T153849	449.65	100		Auto trade			
20141013T153849	449.64	100		Auto trade			
20141013T153852	449.97	109		Auto trade			
20141013T153852	449.99	100		Auto trade			
20141013T153852	450.	119		Auto trade			
20141013T153852	449.97	100		Auto trade			
20141013T153852	449.99	100		Auto trade			
20141013T153852	450.	700		Auto trade			
20141013T153852	449.99	100		Auto trade			
20141013T153855	449.99	100		Auto trade			
20141013T153855	449.98	100		Auto trade			
20141013T153855	449.9895	100		Auto trade			
20141013T153855	450.	100		Auto trade			
20141013T153857	449.99	100		Auto trade			
20141013T153858	449.78	100		Auto trade			
20141013T153859	449.99	100		Auto trade			
20141013T153859	449.98	100		Auto trade			
20141013T153859	450.	100		Auto trade			
20141013T153859	449.83	100		Auto trade			
20141013T153859	449.78	100		Auto trade			
20141013T153859	449.77	100		Auto trade			
20141013T153859	449.85	100		Auto trade			
20141013T153859	449.78	100		Auto trade			
20141013T153859	449.58	100		Auto trade			
20141013T153859	449.6	100		Auto trade			
20141013T153859	449.58	100		Auto trade			
20141013T153859	449.59	100		Auto trade			
20141013T153859	449.78	100		Auto trade			
20141013T153900	449.83	100		Auto trade			
20141013T153901	449.972	100		Auto trade			
20141013T153901	449.98	100		Auto trade			
20141013T153901	449.984	100		Auto trade			
20141013T153903	449.74	100		Auto trade			
20141013T153905	449.99	100		Auto trade			
20141013T153910	449.96	100		Auto trade			
20141013T153911	449.99	100		Auto trade			
20141013T153912	449.99	100		Auto trade			
20141013T153913	449.97	100		Auto trade			
20141013T153914	449.967	350		Auto trade			
20141013T153914	449.99	100		Auto trade			
20141013T153915	449.923	200		Auto trade			
20141013T153917	449.87	100		Auto trade			
20141013T153917	449.81	100		Auto trade			
20141013T153917	449.78	100		Auto trade			
20141013T153917	449.75	100		Auto trade			
20141013T153917	449.865	100		Auto trade			
20141013T153917	449.87	100		Auto trade			
20141013T153917	449.81	100		Auto trade			
20141013T153917	449.76	100		Auto trade			
20141013T153917	449.865	100		Auto trade			
20141013T153917	449.8	100		Auto trade			
20141013T153917	449.79	100		Auto trade			
20141013T153917	449.81	100		Auto trade			
20141013T153918	449.74	100		Auto trade			
20141013T153918	449.68	100		Auto trade			
20141013T153918	449.67	100		Auto trade			
20141013T153918	449.56	140		Auto trade			
20141013T153918	449.79	100		Auto trade			
20141013T153919	449.5	350		Auto trade			
20141013T153919	449.34	100		Auto trade			
20141013T153919	449.1401	479		Auto trade			
20141013T153919	449.355	198		Auto trade			
20141013T153919	449.14	100		Auto trade			
20141013T153919	449.56	100		Auto trade			
20141013T153920	449.14	100		Auto trade			
20141013T153920	449.11	100		Auto trade			
20141013T153920	449.14	100		Auto trade			
20141013T153920	449.09	100		Auto trade			
20141013T153921	449.56	100		Auto trade			
20141013T153923	449.375	100		Auto trade			
20141013T153924	449.2	500		Auto trade			
20141013T153925	449.38	100		Auto trade			
20141013T153925	449.2	100		Auto trade			
20141013T153928	449.2	100		Auto trade			
20141013T153930	449.2	100		Auto trade			
20141013T153930	449.16	100		Auto trade			
20141013T153930	449.295	100		Auto trade			
20141013T153934	449.05	200		Auto trade			
20141013T153937	449.465	100		Auto trade			
20141013T153940	449.19	100		Auto trade			
20141013T153942	449.55	118		Auto trade			
20141013T153942	449.56	103		Auto trade			
20141013T153942	449.44	100		Auto trade			
20141013T153942	449.55	148		Auto trade			
20141013T153942	449.53	100		Auto trade			
20141013T153942	449.56	100		Auto trade			
20141013T153943	449.53	200		Auto trade			
20141013T153945	449.39	100		Auto trade			
20141013T153945	449.37	100		Auto trade			
20141013T153945	449.38	100		Auto trade			
20141013T153945	449.35	400		Auto trade			
20141013T153948	449.4618	250		Auto trade			
20141013T153949	449.52	100		Auto trade			
20141013T153949	449.46	100		Auto trade			
20141013T153949	449.53	100		Auto trade			
20141013T153949	449.54	100		Auto trade			
20141013T153950	449.5	100		Auto trade			
20141013T153952	449.266	100		Auto trade			
20141013T153953	449.25	100		Auto trade			
20141013T153953	449.26	100		Auto trade			
20141013T153953	449.07	100		Auto trade			
20141013T153953	449.26	100		Auto trade			
20141013T153956	449.29	100		Auto trade			
20141013T153958	449.17	100		Auto trade			
20141013T154001	449.52	100		Auto trade			
20141013T154001	449.56	307		Auto trade			
20141013T154001	449.5	100		Auto trade			
20141013T154001	449.51	100		Auto trade			
